,projectname,classification,commenttext,label,code,yes_vote,no_vote
0,jruby-1.4.0,DESIGN,"// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall, and adjust callsite appropriately",yes,undetermined,9,0
1,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// to encoding, same special-casing",no,undetermined,0,9
2,jruby-1.4.0,WITHOUT_CLASSIFICATION,// There is something valid in the sun_path component,no,undetermined,0,9
3,jruby-1.4.0,WITHOUT_CLASSIFICATION,// closure instructions,no,undetermined,0,9
4,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// switch // for // no more data, OK for strict to go calc",no,undetermined,0,9
5,jruby-1.4.0,DEFECT,// FIXME: This is causing a verification error for some reason //nilClass.dispatcher = callbackFactory.createDispatcher(nilClass);,yes,undetermined,6,3
6,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// IRubyObject, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args",no,undetermined,0,9
7,jruby-1.4.0,WITHOUT_CLASSIFICATION,//call post method stuff (exception raised),no,undetermined,0,9
8,jruby-1.4.0,WITHOUT_CLASSIFICATION,// Equivalent of T_DATA,no,undetermined,0,9
9,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1728,no,undetermined,0,9
10,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// do nothing, allow loop to retry",no,undetermined,0,9
11,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// wow, the only time we can use the java protocol ;)",no,undetermined,0,9
12,jruby-1.4.0,WITHOUT_CLASSIFICATION,// retrieve call site from sites array,no,undetermined,0,9
13,jruby-1.4.0,WITHOUT_CLASSIFICATION,// get current context,no,undetermined,0,9
14,jruby-1.4.0,WITHOUT_CLASSIFICATION,// this is the order in which MRI does these two tests,no,undetermined,1,8
15,jruby-1.4.0,WITHOUT_CLASSIFICATION,//yyDefRed 889,no,undetermined,0,9
16,jruby-1.4.0,WITHOUT_CLASSIFICATION,// not reached,no,undetermined,1,8
17,jruby-1.4.0,DESIGN,// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415,yes,undetermined,9,0
18,jruby-1.4.0,WITHOUT_CLASSIFICATION,// no bignorm here needed,no,undetermined,0,9
19,jruby-1.4.0,WITHOUT_CLASSIFICATION,// interfaces are handled as modules,no,undetermined,0,9
20,jruby-1.4.0,WITHOUT_CLASSIFICATION,// ------ Define the operations below ----,no,undetermined,0,9
21,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// if more than 4 locals, get the locals array too",no,undetermined,0,9
22,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// Signal uses sun.misc.* classes, this is not allowed // in the security-sensitive environments",no,undetermined,0,9
23,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// if we're not the ""argument scope"" for zsuper, try our parent",no,undetermined,0,9
24,jruby-1.4.0,WITHOUT_CLASSIFICATION,// We always open this rw since we can only open it r or rw.,no,undetermined,0,9
25,jruby-1.4.0,WITHOUT_CLASSIFICATION,/*receiver*/,no,undetermined,0,9
26,jruby-1.4.0,WITHOUT_CLASSIFICATION,// sic,no,undetermined,0,9
27,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// do nothing, leave empty",no,undetermined,0,9
28,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 510,no,undetermined,0,9
29,jruby-1.4.0,WITHOUT_CLASSIFICATION,// Fast path since JNA stat is about 10x slower than this,no,undetermined,0,9
30,jruby-1.4.0,WITHOUT_CLASSIFICATION,/*$5 == null ? NilImplicitNode.NIL : $5;*/,no,undetermined,0,9
31,jruby-1.4.0,IMPLEMENTATION,// TODO same zero-length checks as file above,yes,undetermined,8,1
32,jruby-1.4.0,WITHOUT_CLASSIFICATION,// default PidGetter,no,undetermined,0,9
33,jruby-1.4.0,WITHOUT_CLASSIFICATION,//yySindex 945,no,undetermined,0,9
34,jruby-1.4.0,WITHOUT_CLASSIFICATION,// v += g*v     ~ 1/2/sqrt(),no,undetermined,0,9
35,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 964,no,undetermined,0,9
36,jruby-1.4.0,WITHOUT_CLASSIFICATION,// keep value of twoAgo around so we can restore after we unread,no,undetermined,1,8
37,jruby-1.4.0,WITHOUT_CLASSIFICATION,// These call* assume ThreadContext = receiver.getRuntime().getCurrentContext(),no,undetermined,0,9
38,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1622,no,undetermined,0,9
39,jruby-1.4.0,DESIGN,"/**
 * FIXME: This version is faster than the previous, but both suffer from a
 * crucial flaw: It is impossible to create an ObjectSpace with an iterator
 * that doesn't either: a. hold on to objects that might otherwise be collected
 * or b. have no way to guarantee that a call to hasNext() will be correct or
 * that a subsequent call to next() will produce an object. For our purposes,
 * for now, this may be acceptable.
 */",yes,undetermined,8,1
40,jruby-1.4.0,WITHOUT_CLASSIFICATION,// switch,no,undetermined,0,9
41,jruby-1.4.0,WITHOUT_CLASSIFICATION,// hmmmm,no,undetermined,0,9
42,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// // Add aliases in Type::*, NativeType::* and FFI::TYPE_* //",no,undetermined,0,9
43,jruby-1.4.0,WITHOUT_CLASSIFICATION,// ACTIONS_END,no,undetermined,0,9
44,jruby-1.4.0,WITHOUT_CLASSIFICATION,/* --------- Protected fields/methods below --------- */,no,undetermined,1,8
45,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1254,no,undetermined,0,9
46,jruby-1.4.0,WITHOUT_CLASSIFICATION,// else [default] reduce (yyN),no,undetermined,0,9
47,jruby-1.4.0,WITHOUT_CLASSIFICATION,// create a new variable using the prefix,no,undetermined,0,9
48,jruby-1.4.0,WITHOUT_CLASSIFICATION,// superClass may be null.,no,undetermined,1,8
49,jruby-1.4.0,IMPLEMENTATION,// TODO: must override in RubyModule to pick up constants,yes,undetermined,8,1
50,jruby-1.4.0,DESIGN,// FIXME we should probably still be dyncalling 'write' here,yes,undetermined,7,2
51,jruby-1.4.0,WITHOUT_CLASSIFICATION,// create the closure class and instantiate it,no,undetermined,0,9
52,jruby-1.4.0,WITHOUT_CLASSIFICATION,// RubyUDPSocket,no,undetermined,0,9
53,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// method is done, declare all variables",no,undetermined,0,9
54,jruby-1.4.0,IMPLEMENTATION,// TODO: Add safety check for taintedness,yes,undetermined,9,0
55,jruby-1.4.0,WITHOUT_CLASSIFICATION,// FIXME: Old Mac format strings?,no,undetermined,6,3
56,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1776,no,undetermined,0,9
57,jruby-1.4.0,WITHOUT_CLASSIFICATION,// 1.9 only,no,undetermined,0,9
58,jruby-1.4.0,DESIGN,// FIXME: This doesn't actually support anything but String,yes,undetermined,7,2
59,jruby-1.4.0,DESIGN,"// FIXME: This is currently only here because of some problems with IOOutputStream writing to a ""bare"" runtime without a proper scope",yes,undetermined,6,3
60,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// thread is not alive, skip it",no,undetermined,0,9
61,jruby-1.4.0,WITHOUT_CLASSIFICATION,// v is defined => It is no longer live before 'i',no,undetermined,0,9
62,jruby-1.4.0,WITHOUT_CLASSIFICATION,// enum lex_state,no,undetermined,0,9
63,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// exceptionNext target is for a next that doesn't push a new value, like this one",no,undetermined,0,9
64,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 980,no,undetermined,0,9
65,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 321,no,undetermined,0,9
66,jruby-1.4.0,WITHOUT_CLASSIFICATION,// Need to initialize,no,undetermined,0,9
67,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// This method is intended only for defining new classes in Ruby code, // so it uses the allocator of the specified superclass or default to // the Object allocator. It should NOT be used to define classes that require a native allocator.",no,undetermined,1,8
68,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1089,no,undetermined,0,9
69,jruby-1.4.0,WITHOUT_CLASSIFICATION,// admittedly inefficient,no,undetermined,0,9
70,jruby-1.4.0,WITHOUT_CLASSIFICATION,// Get the convention from the options hash,no,undetermined,0,9
71,jruby-1.4.0,WITHOUT_CLASSIFICATION,// declared type returns the qualified name without $ for inner classes!!!,no,undetermined,0,9
72,jruby-1.4.0,DEFECT,"// TODO: need to isolate the ""current"" thread from class creation",yes,undetermined,8,1
73,jruby-1.4.0,WITHOUT_CLASSIFICATION,// extract item from array,no,undetermined,0,9
74,jruby-1.4.0,WITHOUT_CLASSIFICATION,"// receiver first, so we know which call site to use",no,undetermined,0,9
75,jruby-1.4.0,WITHOUT_CLASSIFICATION,/*package-protected*/,no,undetermined,1,8
76,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1348,no,undetermined,0,9
77,jruby-1.4.0,WITHOUT_CLASSIFICATION,// return jump handling,no,undetermined,0,9
78,jruby-1.4.0,WITHOUT_CLASSIFICATION,// '.',no,undetermined,0,9
79,jruby-1.4.0,WITHOUT_CLASSIFICATION,"/*  ================
     *  Instance Methods
     *  ================ 
     */",no,undetermined,0,9
80,jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1145,no,undetermined,0,9
81,jruby-1.4.0,WITHOUT_CLASSIFICATION,/* $;: field separator */,no,undetermined,1,8
82,jruby-1.4.0,WITHOUT_CLASSIFICATION,// won't hurt fixnums,no,undetermined,0,9
83,jruby-1.4.0,IMPLEMENTATION,// FIXME: optimize for cases where we have no false branch,yes,undetermined,6,3
