,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba
0,hibernate-distribution-3.3.2.GA,DEFECT,"// this is only needed (afaict) for processing results from the query cache; // however, this cannot possibly work in the case of discovered types...",yes,undetermined,0,0,0,no,0.1512349818734499,no,0.15084100727915642,no,0.15252804434542722,no,0.14371015130841966,no,0.1463012475805444
1,hibernate-distribution-3.3.2.GA,DEFECT,// note that this timestamp is not correct if the connection provider // returns an older JDBC connection that was associated with a // transaction that was already begun before openSession() was called // (don't know any possible solution to this!),yes,undetermined,0,0,0,no,0.3612077514694034,no,0.35177016940660844,no,0.3275912554195134,no,0.3196629128456657,no,0.33058835984219226
2,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: This is assertion is disabled because there is a bug that means the //	  original owner of a transient, uninitialized collection is not known //	  if the collection is re-referenced by a different object associated //	  with the current Session //throw new AssertionFailure(""bug loading unowned collection"");",yes,undetermined,0,0,0,yes,0.7538373521984546,yes,0.598265368366837,yes,0.6041543351211086,yes,0.5943549505665835,yes,0.6048059713277654
3,hibernate-distribution-3.3.2.GA,DEFECT,"// This does not support the Cache SQL 'DISTINCT BY (comma-list)' extensions, // but this extension is not supported through Hibernate anyway.",yes,undetermined,0,0,0,no,0.021918988454608584,yes,0.9904033134790244,yes,0.9906464210614369,yes,0.9899194487933175,yes,0.9910752650832937
4,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: when this is the entry point, we should use an INNER_JOIN for fetching the many-to-many elements!",yes,undetermined,0,0,0,yes,0.930360889044742,yes,0.990429757952159,yes,0.9906601693160338,yes,0.9899157798854429,yes,0.9910734822402871
5,hibernate-distribution-3.3.2.GA,DEFECT,"// could happen for custom Criteria impls.  Not likely, but... // 		for long term solution, see HHH-3514",yes,undetermined,0,0,0,no,0.019298096227500106,yes,0.9904179759513435,yes,0.9906418671326126,yes,0.9899199274270547,yes,0.9910901112002171
6,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object) //the owner of the association is not the owner of the id,yes,undetermined,0,0,0,yes,0.7610170886593636,yes,0.8635696874621872,yes,0.8755181972700745,yes,0.8699221987269294,yes,0.8767879466054936
7,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object),yes,undetermined,0,0,0,yes,0.8799461612277689,yes,0.8902406726584414,yes,0.8892208095466304,yes,0.8832988215451827,yes,0.8892638077266919
8,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK and entity name, fix this!",yes,undetermined,0,0,0,yes,0.986823025751102,yes,0.990410093679518,yes,0.9906453144817989,yes,0.9899273157720898,yes,0.9911053385074079
9,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: does not work for EntityMode.DOM4J yet!,yes,undetermined,0,0,0,yes,0.999999998650847,yes,0.9999999964971181,yes,0.9999999970069514,yes,0.9999999962707801,yes,0.9999999975957126
