,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.",yes,undetermined,0,0,0,no,0.08406486569137832,yes,0.9919985048092635,yes,0.9929060054110723,yes,0.9927339577030957
1,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.02107530350509048,yes,0.9920201685504423,yes,0.9929006857102746,yes,0.9927454744064813
2,emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);,yes,undetermined,0,0,0,no,0.03167601125299658,yes,0.9920011900244369,yes,0.9928834691888458,yes,0.9927306603251685
3,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.027817097449090302,yes,0.992007414440982,yes,0.9928890547727947,yes,0.9927469951501973
4,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.027817097449090302,yes,0.992007414440982,yes,0.9928890547727947,yes,0.9927469951501973
5,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.02107530350509048,yes,0.9920201685504423,yes,0.9929006857102746,yes,0.9927454744064813
6,emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?,yes,undetermined,0,0,0,no,0.49224734094797307,no,0.5167968738863993,no,0.5285152796033553,no,0.5197588224735848
7,emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //,yes,undetermined,0,0,0,no,0.0507560937481844,yes,0.9920022780813827,yes,0.9928868914513134,yes,0.9927314240758508
8,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,undetermined,0,0,0,yes,0.996274018815216,yes,0.9967171086205069,yes,0.9971309618383442,yes,0.9970801466326719
9,emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.,yes,undetermined,0,0,0,no,0.1241950136378647,no,0.09138278743504821,yes,0.9928780475923601,yes,0.992728423526341
10,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,undetermined,0,0,0,yes,0.996274018815216,yes,0.9967171086205069,yes,0.9971309618383442,yes,0.9970801466326719
11,emf-2.4.1,DESIGN,// Unused?,yes,undetermined,0,0,0,no,0.012201358517614095,yes,0.9919997842739265,yes,0.9928849443504985,yes,0.9927476191146829
12,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,undetermined,0,0,0,yes,0.996274018815216,yes,0.9967171086205069,yes,0.9971309618383442,yes,0.9970801466326719
13,emf-2.4.1,DESIGN,// call workaround,yes,undetermined,0,0,0,yes,0.9965161946538339,yes,0.9966865971919449,yes,0.9974473959765849,yes,0.9974008971263664
14,emf-2.4.1,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //,yes,undetermined,0,0,0,yes,0.9162782997483819,yes,0.992020483391263,yes,0.9928891046545062,yes,0.9927362849111453
15,emf-2.4.1,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //,yes,undetermined,0,0,0,no,0.021631692067281584,yes,0.9920021901795474,yes,0.992892219294373,yes,0.9927263051552945
16,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,undetermined,0,0,0,yes,0.996274018815216,yes,0.9967171086205069,yes,0.9971309618383442,yes,0.9970801466326719
17,emf-2.4.1,DESIGN,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",yes,undetermined,0,0,0,yes,0.819787420888062,yes,0.807865295635294,yes,0.8175367925577992,yes,0.8130948636196559
18,emf-2.4.1,DESIGN,//DMS handle this well.,yes,undetermined,0,0,0,no,0.060042700995031076,yes,0.992018181489805,yes,0.9928825331963546,yes,0.9927447956436802
19,emf-2.4.1,DESIGN,// Unused?,yes,undetermined,0,0,0,no,0.012201358517614095,yes,0.9919997842739265,yes,0.9928849443504985,yes,0.9927476191146829
20,emf-2.4.1,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?,yes,undetermined,0,0,0,no,0.039812183871113654,yes,0.9920118403923694,yes,0.9928872226345973,yes,0.9927481884614299
21,emf-2.4.1,DESIGN,//DMS should we let this exception out?,yes,undetermined,0,0,0,no,0.04490987714433817,yes,0.9920090701854443,yes,0.9928996338840345,yes,0.99273529448204
22,emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,...",yes,undetermined,0,0,0,no,0.024547210906667876,yes,0.9920034594806476,yes,0.9929023772770207,yes,0.9927368489589155
23,emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?,yes,undetermined,0,0,0,no,0.21222259080536604,no,0.23609173961616706,no,0.23350320217622916,no,0.22584875416584657
24,emf-2.4.1,DESIGN,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //",yes,undetermined,0,0,0,no,0.15296762898440083,no,0.12932046189198676,no,0.1650585933079855,no,0.15712972057843275
25,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,undetermined,0,0,0,no,0.13314702756266553,no,0.14257342751158308,no,0.1415044051158081,no,0.13652113461873167
26,emf-2.4.1,DESIGN,// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //,yes,undetermined,0,0,0,no,0.12891370203167374,no,0.09244898070860533,yes,0.9928947221319049,yes,0.9927398259731469
27,emf-2.4.1,DESIGN,"// Do nothing for now, and avoid propagating the exception.   // How should builders handle cancel?",yes,undetermined,0,0,0,no,0.02727370020038931,yes,0.9920017204395164,yes,0.9928877054449174,yes,0.9927228153643842
28,emf-2.4.1,DESIGN,"// this is a fall-back, however, this should never be called",yes,undetermined,0,0,0,no,0.2895769516515392,no,0.25713963763381964,no,0.14011842468128366,no,0.1337170252356272
29,emf-2.4.1,DESIGN,// TODO fix the space above,yes,undetermined,0,0,0,yes,0.9877324895660877,yes,0.9920013438689418,yes,0.9928784685673635,yes,0.9927342464590613
30,emf-2.4.1,DESIGN,// TODO REMOVE THIS BOGUS EMPTY LINE,yes,undetermined,0,0,0,yes,0.9912940895948114,yes,0.9919935641309153,yes,0.9928891995221172,yes,0.9927318680094557
31,emf-2.4.1,DESIGN,// TODO handle class cast exception better.,yes,undetermined,0,0,0,yes,0.9870757233195067,yes,0.9922526569969482,yes,0.9929010714686218,yes,0.9927344722361282
32,emf-2.4.1,DESIGN,// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //,yes,undetermined,0,0,0,no,0.014991555873420987,yes,0.9920064390710766,yes,0.9928823258883428,yes,0.9927355802335737
33,emf-2.4.1,DESIGN,// This is a big festering hack to make the images the right size from the start. //,yes,undetermined,0,0,0,yes,0.9411907547995371,yes,0.9920110848928047,yes,0.992881221719532,yes,0.9927357331956839
34,emf-2.4.1,DESIGN,// EATM Demand create metadata; needs to depend on processing mode...,yes,undetermined,0,0,0,no,0.0407897226050889,yes,0.9919999447807608,yes,0.992901221732158,yes,0.9927427797243255
35,emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!,yes,undetermined,0,0,0,yes,0.9556299578629639,yes,0.9920082507922661,yes,0.9929013637048756,yes,0.9927263104808878
36,emf-2.4.1,DESIGN,//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.,yes,undetermined,0,0,0,no,0.011940023534628893,yes,0.9920038712567262,yes,0.9929038960605435,yes,0.9927285873055542
37,emf-2.4.1,DESIGN,// call the workaround,yes,undetermined,0,0,0,yes,0.9941853760739762,yes,0.994119388160429,yes,0.9955956916869869,yes,0.9955125045165961
38,emf-2.4.1,DESIGN,// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //,yes,undetermined,0,0,0,no,0.016291495460063983,yes,0.992011560715604,yes,0.9928879042915506,yes,0.9927351904041386
39,emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration",yes,undetermined,0,0,0,no,0.038013950417722334,yes,0.9920084074368187,yes,0.9928890418160964,yes,0.9927429657032817
40,emf-2.4.1,DESIGN,// EATM this would be wrong.,yes,undetermined,0,0,0,no,0.18853045132007074,no,0.15664263813489893,no,0.14986700714361254,no,0.14225623172260307
41,emf-2.4.1,DESIGN,// call workaround,yes,undetermined,0,0,0,yes,0.9965161946538339,yes,0.9966865971919449,yes,0.9974473959765849,yes,0.9974008971263664
42,emf-2.4.1,DESIGN,// REVISIT: Remove this code.,yes,undetermined,0,0,0,no,0.19389821203036406,no,0.16650290042379307,no,0.280259951872982,no,0.2742027234584786
43,emf-2.4.1,DESIGN,// The label is not used. //,yes,undetermined,0,0,0,no,0.13345154023208503,no,0.14546017349100063,no,0.1541638510520977,no,0.14896523498372266
44,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,undetermined,0,0,0,no,0.13314702756266553,no,0.14257342751158308,no,0.1415044051158081,no,0.13652113461873167
45,emf-2.4.1,DESIGN,// Motif kludge: we would get something random instead of null. //,yes,undetermined,0,0,0,yes,0.5745224295257726,no,0.18821806377902978,no,0.19474821434174325,no,0.18864674174267132
46,emf-2.4.1,DESIGN,// TODO So what should be the eType be now? //,yes,undetermined,0,0,0,yes,0.9271260127744273,yes,0.9920091365177623,yes,0.9928871166014751,yes,0.9927317107645873
47,emf-2.4.1,DESIGN,"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //",yes,undetermined,0,0,0,no,0.17519667924614155,no,0.1528771047585481,no,0.16108742233481427,no,0.1552605053463919
