,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba
0,hibernate-distribution-3.3.2.GA,DEFECT,"// this is only needed (afaict) for processing results from the query cache; // however, this cannot possibly work in the case of discovered types...",yes,undetermined,0,0,0,no,0.0814765557507814,yes,0.9909910569906906,yes,0.9915163574526573,yes,0.9926583116038101,yes,0.9932268207103208
1,hibernate-distribution-3.3.2.GA,DEFECT,// note that this timestamp is not correct if the connection provider // returns an older JDBC connection that was associated with a // transaction that was already begun before openSession() was called // (don't know any possible solution to this!),yes,undetermined,0,0,0,no,0.09979164500745878,yes,0.9909850815971211,yes,0.9915194581359724,yes,0.9926609694817201,yes,0.993238930272949
2,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: This is assertion is disabled because there is a bug that means the //	  original owner of a transient, uninitialized collection is not known //	  if the collection is re-referenced by a different object associated //	  with the current Session //throw new AssertionFailure(""bug loading unowned collection"");",yes,undetermined,0,0,0,yes,0.7632299594523658,yes,0.6799808621860794,yes,0.6739325671346077,yes,0.6900388149573141,yes,0.7006202113290009
3,hibernate-distribution-3.3.2.GA,DEFECT,"// This does not support the Cache SQL 'DISTINCT BY (comma-list)' extensions, // but this extension is not supported through Hibernate anyway.",yes,undetermined,0,0,0,no,0.06470440328715646,yes,0.9909850423122152,yes,0.9915121047893743,yes,0.9926666337338098,yes,0.993234638115998
4,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: when this is the entry point, we should use an INNER_JOIN for fetching the many-to-many elements!",yes,undetermined,0,0,0,yes,0.994121814314937,yes,0.9910162275078909,yes,0.9915288487101718,yes,0.9926625045933015,yes,0.9932268873681805
5,hibernate-distribution-3.3.2.GA,DEFECT,"// could happen for custom Criteria impls.  Not likely, but... // 		for long term solution, see HHH-3514",yes,undetermined,0,0,0,no,0.013738060949741638,yes,0.9910058665805284,yes,0.9915183684434136,yes,0.9926683937069416,yes,0.9932403092601316
6,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object) //the owner of the association is not the owner of the id,yes,undetermined,0,0,0,yes,0.7019775325830506,yes,0.7371445263301231,yes,0.7255683675216257,yes,0.7374803707596805,yes,0.7398738845980127
7,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object),yes,undetermined,0,0,0,yes,0.8223192099824777,yes,0.8017789000075013,yes,0.7981854701070759,yes,0.8105903602806375,yes,0.8155458152705567
8,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK and entity name, fix this!",yes,undetermined,0,0,0,yes,0.9908516185548161,yes,0.992993249298608,yes,0.9946370579637225,yes,0.9962134038851143,yes,0.996501831942458
9,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: does not work for EntityMode.DOM4J yet!,yes,undetermined,0,0,0,yes,0.9999999994662588,yes,0.9999999983940319,yes,0.99999999894987,yes,0.9999999994086191,yes,0.9999999995697577
10,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: Deal with the ""optional"" attribute in the <join> mapping; // this code assumes that optional defaults to ""true"" because it // doesn't actually seem to work in the fetch=""join"" code // // Note that actual proper handling of optional-ality here is actually // more involved than this patch assumes.  Remember that we might have // multiple <join/> mappings associated with a single entity.  Really // a couple of things need to happen to properly handle optional here: //  1) First and foremost, when handling multiple <join/>s, we really //      should be using the entity root table as the driving table; //      another option here would be to choose some non-optional joined //      table to use as the driving table.  In all likelihood, just using //      the root table is much simplier //  2) Need to add the FK columns corresponding to each joined table //      to the generated select list; these would then be used when //      iterating the result set to determine whether all non-optional //      data is present // My initial thoughts on the best way to deal with this would be // to introduce a new SequentialSelect abstraction that actually gets // generated in the persisters (ok, SingleTable...) and utilized here. // It would encapsulated all this required optional-ality checking...",yes,undetermined,0,0,0,yes,0.963591718059681,yes,0.9910127455872155,yes,0.9915332376529445,yes,0.9926741855479894,yes,0.9932400488926845
11,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: would be nice to use false, but issues with MS SQL",yes,undetermined,0,0,0,yes,0.9867895205964451,yes,0.99099689739165,yes,0.9915334672776571,yes,0.9926838070576236,yes,0.9932401391465555
12,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: not really completely correct, since //      the uoe could occur while resolving //      associations, leaving the PC in an //      inconsistent state",yes,undetermined,0,0,0,yes,0.8270348221091112,yes,0.8088774614222306,yes,0.7995531539333542,yes,0.8069365131777987,yes,0.8309415337301916
13,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: this is kinda inconsistent with CollectionType,yes,undetermined,0,0,0,yes,0.9999999984094904,yes,0.9999999542467358,yes,0.9999998940847673,yes,0.9999999499023947,yes,0.9999999612483571
14,hibernate-distribution-3.3.2.GA,DEFECT,"// For a one-to-many, a <bag> is not really a bag; // it is *really* a set, since it can't contain the // same element twice. It could be considered a bug // in the mapping dtd that <bag> allows <one-to-many>.",yes,undetermined,0,0,0,no,0.16765953687859048,no,0.11079226126832081,no,0.10092253635158213,no,0.09865011899169705,yes,0.9932290920051944
15,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK, fix this! -> only if/when we can extract the id values....",yes,undetermined,0,0,0,yes,0.9763890567483005,yes,0.9910058934628749,yes,0.9915095926208451,yes,0.9926734647371082,yes,0.9932384996938763
16,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: old version did not require hashmap lookup: //keys[collectionOwner].getIdentifier(),yes,undetermined,0,0,0,no,0.5376037084640223,no,0.4781316902820006,no,0.47777789747502203,no,0.4884379596698407,no,0.4901547091137722
17,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: this disables laziness even in non-pojo entity modes:,yes,undetermined,0,0,0,yes,0.979698084819508,yes,0.9909905194879319,yes,0.9915061924019727,yes,0.9926669220048838,yes,0.9932359379732927
18,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: at the point where we are resolving collection references, we don't // know if the uk value has been resolved (depends if it was earlier or // later in the mapping document) - now, we could try and use e.getStatus() // to decide to semiResolve(), trouble is that initializeEntity() reuses // the same array for resolved and hydrated values",yes,undetermined,0,0,0,yes,0.6680992974627448,yes,0.6383660054824938,yes,0.640523412967576,yes,0.6627325170917486,yes,0.7071174147943057
19,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently we don't know a SessionFactory reference when building the Tuplizer //      THIS IS A BUG (embedded-xml=false on component) // TODO : fix this after HHH-1907 is complete,yes,undetermined,0,0,0,yes,0.9999999871240763,yes,0.9999999689610536,yes,0.9999999692885785,yes,0.9999999812457789,yes,0.9999999866899189
