,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba,svm_pred_7,svm_pred_7_proba,svm_pred_8,svm_pred_8_proba,svm_pred_9,svm_pred_9_proba,svm_pred_10,svm_pred_10_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,no,0.24063983712312748,yes,0.6302722724518924,yes,0.654080148481928,yes,0.708547898571865,yes,0.754473893490258,yes,0.7832578725536185,yes,0.8043159972108235,yes,0.8093559944777913,yes,0.8353469033676842,yes,0.8348847516759199,yes,0.8286486212867965
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,yes,0.994784182802366,yes,0.9902559270445654,yes,0.9919780270868734,yes,0.9942038041544444,yes,0.9946255701067526,yes,0.9944289406531637,yes,0.994814139434557,yes,0.9942562977225672,yes,0.995506691313468,yes,0.9959637153667561,yes,0.9957708821413451
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,yes,0.9999821532934383,yes,0.9780488356891422,yes,0.9859432531744798,yes,0.9888779103307421,yes,0.9897790848851713,yes,0.991444994618557,yes,0.9921027814495763,yes,0.9911301031052963,yes,0.992882228498389,yes,0.9930352461419686,yes,0.9926693273774471
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,yes,0.9999814549585444,yes,0.9959072097804852,yes,0.9999861937406275,yes,0.9999918594183264,yes,0.9999936117407254,yes,0.9999959777625834,yes,0.9999966634019585,yes,0.9999954516016334,yes,0.9999974270452978,yes,0.9999976148170269,yes,0.9999973404261857
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.05994725278271425,yes,0.9780201920142437,yes,0.985940380145528,yes,0.9889022472593851,yes,0.9897778406232556,yes,0.9914436704419095,yes,0.9921053500489186,yes,0.9911178416603904,yes,0.9928810545568687,yes,0.9930212888534874,yes,0.9926510756045991
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,yes,0.9459278053346107,yes,0.9780457447920834,yes,0.9859513226660837,yes,0.9888740726630697,yes,0.9897663434461828,yes,0.9914530031805419,yes,0.9920972343318497,yes,0.9911389871553715,yes,0.9928751145409943,yes,0.9930173137371491,yes,0.9926586416175924
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,yes,0.7900441776094818,yes,0.661315567652701,yes,0.7249843253363042,yes,0.7530729890490965,yes,0.756878325807406,yes,0.7644184634511797,yes,0.7653038128455025,yes,0.7634985238374141,yes,0.7910385095381048,yes,0.7892242891141673,yes,0.783180286675508
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,yes,0.9999852094748949,yes,0.9942032367824087,yes,0.9968402062711225,yes,0.9999821629693728,yes,0.9999899022151778,yes,0.9999940542673995,yes,0.9999959423802367,yes,0.9999947687268811,yes,0.9999970611450397,yes,0.9999975099055479,yes,0.9999972510306471
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,yes,0.9877830612488376,yes,0.9815565521529794,yes,0.9931177843222986,yes,0.9951588892946875,yes,0.9957371289236283,yes,0.9965663008135733,yes,0.9970387105119114,yes,0.9968600927994732,yes,0.9999826587199993,yes,0.9999846693433219,yes,0.999982849139542
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,yes,0.9999999970513155,yes,0.9999999486182201,yes,0.9999999806875289,yes,0.9999999912472403,yes,0.9999999938632352,yes,0.9999999968618651,yes,0.9999999976540699,yes,0.999999996672382,yes,0.9999999984460028,yes,0.9999999986203689,yes,0.9999999984465907
