,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba,svm_pred_7,svm_pred_7_proba
0,jEdit-4.2,DEFECT,// Technically incorrect here - we need to wrap null values // as bsh.Primitive.NULL.  However the This.invokeMethod() // will do that much for us. // We need to generate a conditional here to test for null // and return Primitive.NULL,yes,undetermined,0,0,0,no,0.030688499723252004,yes,0.9944248725250592,yes,0.9941361554587079,yes,0.9942500867402335,yes,0.9944651405928805,yes,0.9947580101420216,yes,0.9954268071519934,yes,0.99577993077945
1,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.017174882199878387,yes,0.9944192167187949,yes,0.9941383240847097,yes,0.9942470833209119,yes,0.9944646406178246,yes,0.994761732249555,yes,0.9954227489375179,yes,0.9957750817464333
2,jEdit-4.2,DEFECT,"// very subtle... if we leave this for // ensurePhysicalLineIsVisible(), an // extra line will be added to the // scroll line count.",yes,undetermined,0,0,0,no,0.019545054123413983,yes,0.9944146915346106,yes,0.9941391370853715,yes,0.994239795501216,yes,0.9944689388879279,yes,0.994746011110142,yes,0.9954295735124752,yes,0.9957716796296094
3,jEdit-4.2,DEFECT,// only works for jEdit plugins,yes,undetermined,0,0,0,no,0.031432498823020794,yes,0.994412366552959,yes,0.9941243639386277,yes,0.9942534599801901,yes,0.9944589820055935,yes,0.9947487265868509,yes,0.9954221623320081,yes,0.9957787321726915
4,jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.,yes,undetermined,0,0,0,no,0.05598716883367617,yes,0.9944148948497087,yes,0.9941349937138642,yes,0.9942391764062084,yes,0.9944575464316446,yes,0.9947540772042223,yes,0.9954194622688415,yes,0.9957664664889625
5,jEdit-4.2,DEFECT,// does it matter that this doesn't set the type correctly?,yes,undetermined,0,0,0,no,0.12148964904171203,no,0.12280239144542283,no,0.10408728788948567,no,0.09779876974998841,yes,0.9944534855512452,yes,0.9947454593199528,yes,0.9954261907164892,yes,0.9957696584651518
6,jEdit-4.2,DEFECT,// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.,yes,undetermined,0,0,0,no,0.00982556441565029,yes,0.9944139825009928,yes,0.9941437696190552,yes,0.9942511665854532,yes,0.9944651078254141,yes,0.9947578893037183,yes,0.9954370071944025,yes,0.9957787376131082
7,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes,undetermined,0,0,0,no,0.026867010512061106,yes,0.9944142546934007,yes,0.9941221482329091,yes,0.9942488114452949,yes,0.9944612064497135,yes,0.994754465173698,yes,0.9954311573227275,yes,0.9957696987340102
8,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.017174882199878387,yes,0.9944192167187949,yes,0.9941383240847097,yes,0.9942470833209119,yes,0.9944646406178246,yes,0.994761732249555,yes,0.9954227489375179,yes,0.9957750817464333
9,jEdit-4.2,DEFECT,/* two plugins provide same class! */,yes,undetermined,0,0,0,no,0.02301712676877129,yes,0.9944168236165235,yes,0.9941202746359264,yes,0.9942528522766102,yes,0.9944498210186834,yes,0.9947476229753975,yes,0.995428119289888,yes,0.9957764094637728
10,jEdit-4.2,DEFECT,"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work.",yes,undetermined,0,0,0,no,0.05989914377574624,yes,0.9944138355567741,yes,0.9941262863174098,yes,0.9942461599046077,yes,0.994449370157263,yes,0.9947515748315082,yes,0.9954298984996094,yes,0.9957651161854206
11,jEdit-4.2,DEFECT,//{{{ Broken class,yes,undetermined,0,0,0,no,0.03409901278835875,yes,0.9944198183649164,yes,0.9941387567603793,yes,0.9942415339070155,yes,0.9944638945133892,yes,0.9947596286184018,yes,0.9954277085504675,yes,0.9957749925179925
12,jEdit-4.2,DEFECT,"// while its broken to have a null // symlinkPath, some older plugins // might...",yes,undetermined,0,0,0,no,0.07740660597409123,yes,0.9944268917518927,yes,0.9941440424105089,yes,0.9942649278516128,yes,0.9944508037014014,yes,0.9947599258898899,yes,0.9954297343284022,yes,0.9957730559744855
13,jEdit-4.2,DEFECT,"// This is not good... // need a way to update eval without re-installing... // so that we can re-eval params, etc. when classloader changes // look into this",yes,undetermined,0,0,0,no,0.2340479672694012,no,0.417602319952202,no,0.3501342680969244,no,0.33147016691421005,no,0.3172005947014403,no,0.3059744823023024,no,0.30822203041455976,no,0.30384991945260686
