,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba
0,hibernate-distribution-3.3.2.GA,DEFECT,"// this is only needed (afaict) for processing results from the query cache; // however, this cannot possibly work in the case of discovered types...",yes,undetermined,0,0,0,no,0.17175837541035813,no,0.12618255109074616,no,0.10797643431487638,no,0.10120651308230268,no,0.10310370897977642,no,0.09874866104760567
1,hibernate-distribution-3.3.2.GA,DEFECT,// note that this timestamp is not correct if the connection provider // returns an older JDBC connection that was associated with a // transaction that was already begun before openSession() was called // (don't know any possible solution to this!),yes,undetermined,0,0,0,no,0.12006222339625526,no,0.0956575812860686,yes,0.9946047228167383,yes,0.995660014908026,yes,0.9955786266541644,yes,0.9959272169263003
2,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: This is assertion is disabled because there is a bug that means the //	  original owner of a transient, uninitialized collection is not known //	  if the collection is re-referenced by a different object associated //	  with the current Session //throw new AssertionFailure(""bug loading unowned collection"");",yes,undetermined,0,0,0,yes,0.7514104350170887,yes,0.6268492175644718,yes,0.6473220162929056,yes,0.6341975221813834,yes,0.6620382339174314,yes,0.6746422877795627
3,hibernate-distribution-3.3.2.GA,DEFECT,"// This does not support the Cache SQL 'DISTINCT BY (comma-list)' extensions, // but this extension is not supported through Hibernate anyway.",yes,undetermined,0,0,0,no,0.08481871240611268,yes,0.9931387352959279,yes,0.9946184887793087,yes,0.9956702062234979,yes,0.9955834778443302,yes,0.9959329287196407
4,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: when this is the entry point, we should use an INNER_JOIN for fetching the many-to-many elements!",yes,undetermined,0,0,0,yes,0.9950408548804953,yes,0.9931372576949318,yes,0.9946156153494962,yes,0.9956650451643092,yes,0.9955796650239236,yes,0.9959353290740288
5,hibernate-distribution-3.3.2.GA,DEFECT,"// could happen for custom Criteria impls.  Not likely, but... // 		for long term solution, see HHH-3514",yes,undetermined,0,0,0,no,0.023417188532811623,yes,0.9931316684313267,yes,0.9946134525373719,yes,0.9956727813779691,yes,0.9955864489548938,yes,0.9959342358608338
6,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object) //the owner of the association is not the owner of the id,yes,undetermined,0,0,0,yes,0.8718229379188417,yes,0.970160031733462,yes,0.9946067719653665,yes,0.9956761174143621,yes,0.9955969447381522,yes,0.995933358116565
7,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object),yes,undetermined,0,0,0,yes,0.9321788626813362,yes,0.9931358430569802,yes,0.9946165104873671,yes,0.9956714027873828,yes,0.9955852494246218,yes,0.9959395737525609
8,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK and entity name, fix this!",yes,undetermined,0,0,0,yes,0.9999834925546333,yes,0.9999877359042846,yes,0.9999943653890415,yes,0.9999961887755776,yes,0.999995683919128,yes,0.9999964844777833
9,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: does not work for EntityMode.DOM4J yet!,yes,undetermined,0,0,0,yes,0.9999999999469218,yes,0.9999999997901543,yes,0.9999999999310037,yes,0.9999999999677284,yes,0.9999999999617408,yes,0.9999999999751563
10,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: Deal with the ""optional"" attribute in the <join> mapping; // this code assumes that optional defaults to ""true"" because it // doesn't actually seem to work in the fetch=""join"" code // // Note that actual proper handling of optional-ality here is actually // more involved than this patch assumes.  Remember that we might have // multiple <join/> mappings associated with a single entity.  Really // a couple of things need to happen to properly handle optional here: //  1) First and foremost, when handling multiple <join/>s, we really //      should be using the entity root table as the driving table; //      another option here would be to choose some non-optional joined //      table to use as the driving table.  In all likelihood, just using //      the root table is much simplier //  2) Need to add the FK columns corresponding to each joined table //      to the generated select list; these would then be used when //      iterating the result set to determine whether all non-optional //      data is present // My initial thoughts on the best way to deal with this would be // to introduce a new SequentialSelect abstraction that actually gets // generated in the persisters (ok, SingleTable...) and utilized here. // It would encapsulated all this required optional-ality checking...",yes,undetermined,0,0,0,yes,0.9747653867478899,yes,0.9931260557970911,yes,0.9946103498314718,yes,0.9956722657532641,yes,0.9955929646357093,yes,0.9959382690775824
11,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: would be nice to use false, but issues with MS SQL",yes,undetermined,0,0,0,yes,0.9958376674666288,yes,0.9931299856082645,yes,0.994617975581761,yes,0.9956730594395073,yes,0.9955798718180021,yes,0.9959259317166599
12,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: not really completely correct, since //      the uoe could occur while resolving //      associations, leaving the PC in an //      inconsistent state",yes,undetermined,0,0,0,yes,0.8265733142684291,yes,0.8265877110100955,yes,0.8372743063240765,yes,0.8533630512399816,yes,0.8517529993197951,yes,0.8533905214902937
13,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: this is kinda inconsistent with CollectionType,yes,undetermined,0,0,0,yes,0.950870386019983,yes,0.9931364572819793,yes,0.9946228291410193,yes,0.9956674234714501,yes,0.9955868747733606,yes,0.9959437069894274
14,hibernate-distribution-3.3.2.GA,DEFECT,"// For a one-to-many, a <bag> is not really a bag; // it is *really* a set, since it can't contain the // same element twice. It could be considered a bug // in the mapping dtd that <bag> allows <one-to-many>.",yes,undetermined,0,0,0,no,0.08532448226005213,yes,0.9931375656476539,yes,0.9946134856430519,yes,0.9956684232421447,yes,0.9955818669724561,yes,0.9959350500970595
15,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK, fix this! -> only if/when we can extract the id values....",yes,undetermined,0,0,0,yes,0.989282087519735,yes,0.9931347046311362,yes,0.9946160862294131,yes,0.995671964393117,yes,0.9955852060971803,yes,0.995928864083885
16,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: old version did not require hashmap lookup: //keys[collectionOwner].getIdentifier(),yes,undetermined,0,0,0,yes,0.7017788284092923,yes,0.6454686880044157,yes,0.6605762965300854,yes,0.6829002197856443,yes,0.6768347900404158,yes,0.6603347263133887
17,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: this disables laziness even in non-pojo entity modes:,yes,undetermined,0,0,0,yes,0.9683504945965471,yes,0.993128968605302,yes,0.994616792791435,yes,0.9956614233786016,yes,0.9955848848831649,yes,0.9959370297820259
18,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: at the point where we are resolving collection references, we don't // know if the uk value has been resolved (depends if it was earlier or // later in the mapping document) - now, we could try and use e.getStatus() // to decide to semiResolve(), trouble is that initializeEntity() reuses // the same array for resolved and hydrated values",yes,undetermined,0,0,0,yes,0.7168995774966395,yes,0.7495631929630119,yes,0.7882581580034383,yes,0.7915598297696642,yes,0.7940083356083637,yes,0.8026816408532164
19,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently we don't know a SessionFactory reference when building the Tuplizer //      THIS IS A BUG (embedded-xml=false on component) // TODO : fix this after HHH-1907 is complete,yes,undetermined,0,0,0,yes,0.9999999896229593,yes,0.9999999031957472,yes,0.9999999113727097,yes,0.9999999463382653,yes,0.9999999443778866,yes,0.9999999578029497
20,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: this requires that the collection is defined after the //      referenced property in the mapping file (ok?),yes,undetermined,0,0,0,yes,0.7901954184959037,yes,0.8045963382384893,yes,0.8485383828880196,yes,0.9246896931516725,yes,0.9955895774733585,yes,0.9959368479691824
21,hibernate-distribution-3.3.2.GA,DEFECT,// TODO : currently we really do not handle ValueInclusion.PARTIAL... // ValueInclusion.PARTIAL would indicate parts of a component need to // be included in the select; currently we then just render the entire // component into the select clause in that case.,yes,undetermined,0,0,0,yes,0.9535334736094216,yes,0.9931368336708462,yes,0.9946138215438637,yes,0.9956679893460791,yes,0.9955757902274952,yes,0.9959368895924753
22,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: is this completely correct?,yes,undetermined,0,0,0,yes,0.9999997435406648,yes,0.9999995390014039,yes,0.9999995782769043,yes,0.9999998200850522,yes,0.9999998100384004,yes,0.9999998539414958
23,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: what if batchUpdate is a callablestatement ? // calls executeBatch(),yes,undetermined,0,0,0,yes,0.9728443893546639,yes,0.9931458259399593,yes,0.9946238464881397,yes,0.9956592208996884,yes,0.995589417474657,yes,0.9959409390622294
24,hibernate-distribution-3.3.2.GA,DEFECT,// This doesn't actually seem to work but it *might* // work on some dbs. Also it doesn't work if there // are multiple columns of results because it // is not accounting for the suffix: // return new String[] { getDiscriminatorColumnName() };,yes,undetermined,0,0,0,yes,0.7096621919003949,yes,0.6459838591287697,yes,0.6360279480181491,yes,0.6345448808841817,yes,0.6236571398358051,yes,0.6234875264747868
