,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,columba-1.4-src,DEFECT,// does not work: r.getFolderName() // does not work: r.getMessage().getUID(),yes,undetermined,0,0,0,no,0.3299610437734773,no,0.33598616926413416,no,0.32776054271820876,no,0.3221775280979381
1,columba-1.4-src,DEFECT,// TODO: key can't be null,yes,undetermined,0,0,0,yes,0.9891326021735444,yes,0.9933352388265495,yes,0.9928780298703532,yes,0.9935450373104502
2,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To: //toList.addAll(Arrays.asList(rfcHeader.getCc()));",yes,undetermined,0,0,0,no,0.33166276366870207,no,0.21768174102125715,no,0.2083790312607418,no,0.20509401047502232
3,columba-1.4-src,DEFECT,// TODO check if we have to manually set the folder/uid in  // message controller to make this work,yes,undetermined,0,0,0,yes,0.9867407817745333,yes,0.9933444092790795,yes,0.9928685092780122,yes,0.9935362384332409
4,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To:",yes,undetermined,0,0,0,no,0.3201826446108046,no,0.18737353430274856,no,0.17814545244763383,no,0.17469935758231256
5,columba-1.4-src,DEFECT,// FIXME this is not correct,yes,undetermined,0,0,0,yes,0.9999992705138058,yes,0.999999608777489,yes,0.9999996452671099,yes,0.9999997407066464
6,columba-1.4-src,DEFECT,// FIXME correct year calculation,yes,undetermined,0,0,0,yes,0.8379713306866765,yes,0.9178147716119179,yes,0.9928690596719053,yes,0.9935367471104984
7,columba-1.4-src,DEFECT,// FIXME check if the id is a correct file name! ,yes,undetermined,0,0,0,yes,0.9835589140261995,yes,0.993356556942293,yes,0.9928790959287659,yes,0.9935460225408087
8,columba-1.4-src,DEFECT,"// TODO: newUID, generate correctly formatted date string",yes,undetermined,0,0,0,yes,0.852927155567153,yes,0.8170862632611733,yes,0.8089689472489527,yes,0.8139780106013692
9,columba-1.4-src,DEFECT,// TODO fix doctype,yes,undetermined,0,0,0,yes,0.9720202477285245,yes,0.9933317383298622,yes,0.9928740632391588,yes,0.9935413714013649
10,columba-1.4-src,DEFECT,// TODO: key can't be null,yes,undetermined,0,0,0,yes,0.9891326021735444,yes,0.9933352388265495,yes,0.9928780298703532,yes,0.9935450373104502
11,columba-1.4-src,DEFECT,// TODO: fix parser exception,yes,undetermined,0,0,0,yes,0.9956133788903357,yes,0.9965404471991005,yes,0.9962976958869172,yes,0.9966870117176145
12,columba-1.4-src,DEFECT,"/**
 * FIXME:
 * 
 * @author fdietz: No locking of folders currently implemented!
 * 
 * @author frd
 */",yes,undetermined,0,0,0,yes,0.9974056642502253,yes,0.9964158113862845,yes,0.996273320093544,yes,0.9966647749177034
13,columba-1.4-src,DESIGN,// TODO (@author fdietz): should be removed if we only use // Streams!,yes,undetermined,0,0,0,yes,0.9999946888931219,yes,0.9968800714778031,yes,0.9966106238523841,yes,0.9969722170100019
14,columba-1.4-src,DESIGN,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?,yes,undetermined,0,0,0,yes,0.9956409464255411,yes,0.9933376919014744,yes,0.992883698110984,yes,0.9935502757531718
15,columba-1.4-src,DESIGN,// this is a hack for the multiline column,yes,undetermined,0,0,0,yes,0.9971111578673916,yes,0.9973765883808299,yes,0.997157536932923,yes,0.9974694046903645
16,columba-1.4-src,DESIGN,//TODO (@author tstich): do something,yes,undetermined,0,0,0,yes,0.9999999105175282,yes,0.9999997228016863,yes,0.9999996834178835,yes,0.9999997690916662
17,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.999999990829228,yes,0.9999999623714027,yes,0.9999999569982194,yes,0.9999999698006529
18,columba-1.4-src,DESIGN,// FIXME remove method // toolbarPane.add(c);,yes,undetermined,0,0,0,yes,0.9488849464990853,yes,0.9933419823384234,yes,0.9928685549253761,yes,0.9935362806206322
19,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.999999990829228,yes,0.9999999623714027,yes,0.9999999569982194,yes,0.9999999698006529
20,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.999999990829228,yes,0.9999999623714027,yes,0.9999999569982194,yes,0.9999999698006529
21,columba-1.4-src,DESIGN,// TODO @author hubms: copied from frederiks search builder,yes,undetermined,0,0,0,yes,0.9969338260964514,yes,0.9939714528768007,yes,0.9935527116538431,yes,0.9941679494255206
22,columba-1.4-src,DESIGN,// real stupid recreation of whole list model // -> replace with id-based listmodel update,yes,undetermined,0,0,0,no,0.2199046854161491,no,0.14425871718604055,no,0.1377609298574438,no,0.13429318292093576
23,columba-1.4-src,DESIGN,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters,yes,undetermined,0,0,0,yes,0.999996644460362,yes,0.9999963157511511,yes,0.999995777451123,yes,0.9999967653098857
24,columba-1.4-src,DESIGN,"/**
     * Transforms email-addresses into HTML just as
     * substituteEmailAddress(String), but tries to ignore email-addresses,
     * which are already links, if the ignore links flag is set.
     * <br>
     * This extended functionality is necessary when parsing a text which
     * is already (partly) html.
     * <br>
     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??
     *
     * @param         s                                input text
     * @param        ignoreLinks                if true link tags are ignored. This gives a
     *                                                         wrong result if some e-mail adresses are
     *                                                         already links (but uses reg. expr. directly,
     *                                                         and is therefore faster)
     * @return        text with email-adresses transformed to links
     */",yes,undetermined,0,0,0,no,0.43291499233544517,no,0.30942321060057215,no,0.29729445024133694,no,0.2949963451714034
25,columba-1.4-src,DESIGN,//TODO: Return content encoding according to the mime part in the mail,yes,undetermined,0,0,0,yes,0.6079422056146195,no,0.5793051205232793,no,0.566130372573518,no,0.5686959088820739
26,columba-1.4-src,DESIGN,//TODO: Return content type according to the mime part in the mail,yes,undetermined,0,0,0,yes,0.8752346485239384,yes,0.8667925393446668,yes,0.8601827088289288,yes,0.864907749947789
27,columba-1.4-src,DESIGN,// hack to support dockable view title update // TODO replace with listener pattern,yes,undetermined,0,0,0,yes,0.9999999208076313,yes,0.9999999527038637,yes,0.9999999426530481,yes,0.9999999595057716
28,columba-1.4-src,DESIGN,/*TODO stop polling thread?! */,yes,undetermined,0,0,0,yes,0.8148424624397742,yes,0.8361645945604265,yes,0.8283038243331694,yes,0.8332571664734288
29,columba-1.4-src,DESIGN,// TODO @author hubms: bad: if there is a icon it is tagged or // not,yes,undetermined,0,0,0,yes,0.9972330301050414,yes,0.9967207489899782,yes,0.9965264878854688,yes,0.9968955838048279
30,columba-1.4-src,DESIGN,// TODO categoryEnumeration,yes,undetermined,0,0,0,no,0.013781471627168935,no,0.012806531743653685,no,0.01243207327367904,no,0.01150092975708316
31,columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event,yes,undetermined,0,0,0,no,0.2396144657654204,no,0.2160720028223318,no,0.2108078740819155,no,0.20754036361894931
32,columba-1.4-src,DESIGN,// register interest on store changes // TODO the dependency should be the other way around,yes,undetermined,0,0,0,yes,0.9999917269128009,yes,0.99998849789197,yes,0.9999861974514098,yes,0.9999891873489014
33,columba-1.4-src,DESIGN,"// TODO: fix layout to look good, even if there's not enough information provided",yes,undetermined,0,0,0,yes,0.9814700540395113,yes,0.9933471145151975,yes,0.9928850515001784,yes,0.9935515265083157
34,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.999999990829228,yes,0.9999999623714027,yes,0.9999999569982194,yes,0.9999999698006529
35,columba-1.4-src,DESIGN,// FIXME: ugly cast to ContactModel,yes,undetermined,0,0,0,yes,0.9999999936834089,yes,0.9999999964487791,yes,0.9999999959222657,yes,0.9999999972614659
36,columba-1.4-src,DESIGN,// @TODO dont use deprecated method,yes,undetermined,0,0,0,yes,0.9958183834986704,yes,0.9965318862517433,yes,0.9955137773011824,yes,0.9959705266796042
37,columba-1.4-src,DESIGN,/* TODO must get polling interval from config file */,yes,undetermined,0,0,0,yes,0.8485393046855696,yes,0.85530511178542,yes,0.8492772393321496,yes,0.8541011880773658
38,columba-1.4-src,DESIGN,//      TODO: reactivate when feature is supported,yes,undetermined,0,0,0,yes,0.9908191205491061,yes,0.9933327174276235,yes,0.9928612790004138,yes,0.993529556092665
39,columba-1.4-src,DESIGN,// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened,yes,undetermined,0,0,0,yes,0.8922269222209749,yes,0.8234677132998499,yes,0.8075992124466101,yes,0.8126101145414374
40,columba-1.4-src,DESIGN,// TODO (@author fdietz): Add more special entities - e.g. accenture chars such as ?,yes,undetermined,0,0,0,yes,0.9879060986952924,yes,0.9933448999327437,yes,0.9928709727503954,yes,0.9935385151830928
