,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba
0,jEdit-4.2,DEFECT,// Technically incorrect here - we need to wrap null values // as bsh.Primitive.NULL.  However the This.invokeMethod() // will do that much for us. // We need to generate a conditional here to test for null // and return Primitive.NULL,yes,undetermined,0,0,0,no,0.03600723858340795,yes,0.9922323244962326,yes,0.9941749669351903,yes,0.9938675735827862,yes,0.9942037470198046,yes,0.9945142598203238
1,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.015559583039649296,yes,0.9922161969646901,yes,0.9941788140276991,yes,0.993881887389831,yes,0.9942180903513154,yes,0.9945162518667022
2,jEdit-4.2,DEFECT,"// very subtle... if we leave this for // ensurePhysicalLineIsVisible(), an // extra line will be added to the // scroll line count.",yes,undetermined,0,0,0,no,0.02511222516642569,yes,0.9922201590480533,yes,0.9941748276273431,yes,0.9938789100659208,yes,0.9942125492702365,yes,0.9945193516286898
3,jEdit-4.2,DEFECT,// only works for jEdit plugins,yes,undetermined,0,0,0,no,0.05087732284801349,yes,0.9922171880709828,yes,0.9941727444282789,yes,0.9938731986068525,yes,0.9942090364082128,yes,0.9945165183957678
4,jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.,yes,undetermined,0,0,0,no,0.1150779757867187,no,0.09178170035300637,yes,0.9941708865021046,yes,0.9938700384575322,yes,0.994204791608861,yes,0.994523337317244
5,jEdit-4.2,DEFECT,// does it matter that this doesn't set the type correctly?,yes,undetermined,0,0,0,no,0.1082375220498669,no,0.09837880703535211,yes,0.9941818338720685,yes,0.9938674215270422,yes,0.9942027713425817,yes,0.9945201357729281
6,jEdit-4.2,DEFECT,// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.,yes,undetermined,0,0,0,no,0.0046072111997486715,yes,0.9922230677939421,yes,0.99417931098483,yes,0.9938794211810899,yes,0.994223590687951,yes,0.994520476949315
7,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes,undetermined,0,0,0,no,0.018592651707490575,yes,0.992224185141376,yes,0.9941660684962608,yes,0.9938734177522688,yes,0.9942162227885852,yes,0.9945136586806232
8,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.015559583039649296,yes,0.9922161969646901,yes,0.9941788140276991,yes,0.993881887389831,yes,0.9942180903513154,yes,0.9945162518667022
9,jEdit-4.2,DEFECT,/* two plugins provide same class! */,yes,undetermined,0,0,0,no,0.025686799837378323,yes,0.9922177139605172,yes,0.994179363280812,yes,0.9938711060177416,yes,0.9942056627045703,yes,0.9945180782706483
10,jEdit-4.2,DEFECT,"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work.",yes,undetermined,0,0,0,no,0.062208960160987495,yes,0.9922117733879646,yes,0.9941717047510401,yes,0.9938730051263255,yes,0.9942069118485617,yes,0.994516229234224
11,jEdit-4.2,DEFECT,//{{{ Broken class,yes,undetermined,0,0,0,no,0.019878337492819007,yes,0.9922336633238088,yes,0.9941701073295458,yes,0.9938802900843153,yes,0.9942159871082316,yes,0.9945107752233396
12,jEdit-4.2,DEFECT,"// while its broken to have a null // symlinkPath, some older plugins // might...",yes,undetermined,0,0,0,no,0.14977074758223688,no,0.40579339608294557,no,0.3535900677090251,no,0.33635625700380356,no,0.3347674303679216,no,0.32916480000643966
13,jEdit-4.2,DEFECT,"// This is not good... // need a way to update eval without re-installing... // so that we can re-eval params, etc. when classloader changes // look into this",yes,undetermined,0,0,0,no,0.28862552373991957,no,0.5220517342482676,no,0.5228168875519921,yes,0.5405950213632841,yes,0.5316930419952254,yes,0.5259243430998494
14,jEdit-4.2,DEFECT,// this seems to make nested readLock() calls work okay. // but I have no idea if it actually fixes things or not.,yes,undetermined,0,0,0,no,0.43118520378478864,yes,0.5813487165671006,yes,0.6320508493614966,yes,0.6223629931132983,yes,0.6196947908962058,yes,0.6163792359061772
15,jEdit-4.2,DEFECT,"// ... but if HyperSearch results window is floating, // the workaround causes problems!",yes,undetermined,0,0,0,yes,0.6733190894796095,yes,0.778346354685983,yes,0.8152552529433489,yes,0.7993832184214521,yes,0.7962915505334011,yes,0.7962891429995198
16,jEdit-4.2,DEFECT,//{{{ Set the buffer's path // Caveat: won't work if save() called with a relative path. // But I don't think anyone calls it like that anyway.,yes,undetermined,0,0,0,no,0.2632995760108457,no,0.2723985409695225,no,0.2768120383637131,no,0.2822320178080942,no,0.26871370422898405,no,0.2625221944494734
17,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes,undetermined,0,0,0,yes,0.9763729752855563,yes,0.9922123963143388,yes,0.9941701725482937,yes,0.9938773064913489,yes,0.9942269666197465,yes,0.9945249404835697
18,jEdit-4.2,DEFECT,"// BUG: if there are multiple selections in different // contexts, the wrong comment strings will be inserted.",yes,undetermined,0,0,0,no,0.12081005283104139,no,0.0996346181416016,yes,0.9941683813068969,yes,0.9938704325637617,yes,0.9942016211419133,yes,0.994509878381507
19,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes,undetermined,0,0,0,yes,0.9763729752855563,yes,0.9922123963143388,yes,0.9941701725482937,yes,0.9938773064913489,yes,0.9942269666197465,yes,0.9945249404835697
20,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes,undetermined,0,0,0,no,0.018592651707490575,yes,0.992224185141376,yes,0.9941660684962608,yes,0.9938734177522688,yes,0.9942162227885852,yes,0.9945136586806232
21,jEdit-4.2,DEFECT,// Fix for this bug: // -- Put a mode into the user dir with the same name as one //    on the system dir. // -- Reload edit modes. // -- Old mode from system dir still used for highlighting //    until jEdit restart.,yes,undetermined,0,0,0,yes,0.5863821990534928,no,0.4115271883108568,no,0.3597989821240448,no,0.342440337012371,no,0.33023803861519696,no,0.3200343070768155
22,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.015559583039649296,yes,0.9922161969646901,yes,0.9941788140276991,yes,0.993881887389831,yes,0.9942180903513154,yes,0.9945162518667022
23,jEdit-4.2,DEFECT,"/* 
		Apparently in some environments you can't catch the security exception
		at all...  e.g. as an applet in IE  ... will probably have to work 
		around 
	*/",yes,undetermined,0,0,0,yes,0.5994986628791007,yes,0.7327992995686624,yes,0.7118345206187839,yes,0.6963661892629309,yes,0.6918032440872123,yes,0.6902541456534825
24,jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)",yes,undetermined,0,0,0,no,0.006838139726206879,yes,0.9922209164090637,yes,0.9941755267073866,yes,0.993870547499565,yes,0.9942076320361394,yes,0.9945155226192243
25,jEdit-4.2,DEFECT,// Race condition here...,yes,undetermined,0,0,0,no,0.5386601592306834,yes,0.7649087562335912,yes,0.7733771976257076,yes,0.7605489956510184,yes,0.7589781647315929,yes,0.7578771749691351
26,jEdit-4.2,DEFECT,"// // Use special cheats that speed up the code (currently about 50%), // but may cause problems with future maintenance and add to the // class file size (about 500 bytes). //",yes,undetermined,0,0,0,no,0.18425202969197033,no,0.13348269210027883,no,0.09676720707313712,yes,0.9938691705676258,yes,0.9942174826462161,yes,0.9945212988385803
27,jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)",yes,undetermined,0,0,0,no,0.006838139726206879,yes,0.9922209164090637,yes,0.9941755267073866,yes,0.993870547499565,yes,0.9942076320361394,yes,0.9945155226192243
28,jEdit-4.2,DEFECT,"/*
			Original note: Jdk under Win is throwing these to
			warn about lower case / upper case possible mismatch.
			e.g. bsh.console bsh.Console
	
			Update: Prior to 1.3 we were squeltching NoClassDefFoundErrors 
			which was very annoying.  I cannot reproduce the original problem 
			and this was never a valid solution.  If there are legacy VMs that
			have problems we can include a more specific test for them here.
		*/",yes,undetermined,0,0,0,no,0.19032429935753337,no,0.17347058177047525,no,0.14916853047201445,no,0.14393411473547946,no,0.13458739731363636,no,0.12787254313374716
29,jEdit-4.2,DEFECT,"// this shouldn't happen, but...",yes,undetermined,0,0,0,no,0.004713234124036548,yes,0.9922131657361218,yes,0.9941697486188483,yes,0.9938739256774377,yes,0.9942176399754089,yes,0.9945167915869564
30,jEdit-4.2,DEFECT,// 18 nov 2003: calling this on a drive letter on Windows causes // drive access,yes,undetermined,0,0,0,no,0.03110958266094284,yes,0.9922242939814767,yes,0.9941788428421204,yes,0.9938879482776722,yes,0.99421560384558,yes,0.9945211541714526
31,jEdit-4.2,DEFECT,// 2 aug 2003: OS/2 Java has a broken getCanonicalPath(),yes,undetermined,0,0,0,no,0.03559623025067252,yes,0.9922193939144457,yes,0.9941736810298282,yes,0.99387748934925,yes,0.9942138598071082,yes,0.994527753850687
32,jEdit-4.2,DEFECT,// Don't generate private or loosely typed fields // Note: loose types aren't currently parsed anyway...,yes,undetermined,0,0,0,no,0.03813625476291524,yes,0.9922365757650453,yes,0.9941718082318575,yes,0.9938750996315902,yes,0.994215771073328,yes,0.9945119192680608
33,jEdit-4.2,DEFECT,"// the view should not be null, but some plugins might do this",yes,undetermined,0,0,0,no,0.18965606824745107,no,0.3331069919408525,no,0.2840214304180306,no,0.2815168296017391,no,0.25517241257411133,no,0.24742327835768446
34,jEdit-4.2,DEFECT,"// caching is not correct and doesn't seem to help... //	enclosingNameSpace.cacheClass( name, genClass );",yes,undetermined,0,0,0,no,0.0030200668551292453,yes,0.9922151276424878,yes,0.9941696035336974,yes,0.9938715651951101,yes,0.9942196405017255,yes,0.9945186297674269
35,jEdit-4.2,DEFECT,"// dialogs fuck things up if a menu is visible, etc! //new BeanShellErrorDialog(view,e);",yes,undetermined,0,0,0,no,0.009761386354907592,yes,0.9922203770757262,yes,0.9941740687796016,yes,0.993871404902098,yes,0.9942153739037644,yes,0.9945327161073055
36,jEdit-4.2,DEFECT,// charAt(index-n) may be unknown on a Reader/InputStream. FIXME // Match after a newline if in multiline mode,yes,undetermined,0,0,0,yes,0.7254230978193068,yes,0.7084907124428339,yes,0.6960303180468603,yes,0.6862046298086617,yes,0.6808277767348979,yes,0.6787214101345123
37,jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)",yes,undetermined,0,0,0,no,0.006838139726206879,yes,0.9922209164090637,yes,0.9941755267073866,yes,0.993870547499565,yes,0.9942076320361394,yes,0.9945155226192243
38,jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.,yes,undetermined,0,0,0,no,0.1150779757867187,no,0.09178170035300637,yes,0.9941708865021046,yes,0.9938700384575322,yes,0.994204791608861,yes,0.994523337317244
39,jEdit-4.2,DEFECT,// this class is not very fast...,yes,undetermined,0,0,0,no,0.20827702014706478,no,0.2103026955776374,no,0.15848894129448673,no,0.13386782844406145,no,0.12434880561626002,no,0.11860726450733881
