,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba,svm_pred_7,svm_pred_7_proba,svm_pred_8,svm_pred_8_proba,svm_pred_9,svm_pred_9_proba,svm_pred_10,svm_pred_10_proba,svm_pred_11,svm_pred_11_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,no,0.5454364801250077,yes,0.7372700094446876,yes,0.7830029072757396,yes,0.8614066605985936,yes,0.865269303341318,yes,0.869039768997912,yes,0.8557025461111539,yes,0.8495050000568783,yes,0.8691859856431132,yes,0.8780710511395128,yes,0.880689855120656,yes,0.8886224635495926
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,yes,0.9999812589056821,yes,0.9968307700717264,yes,0.9999934159383395,yes,0.9999986283407144,yes,0.9999981347477566,yes,0.9999983888893328,yes,0.9999978786940708,yes,0.9999978907926744,yes,0.9999988519076026,yes,0.9999984218023988,yes,0.9999985910906686,yes,0.9999984957592736
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,yes,0.9906294110507635,yes,0.9891475880900154,yes,0.9942464859585756,yes,0.9968383512530998,yes,0.9965943508133672,yes,0.9969113213445585,yes,0.9966573976822892,yes,0.996624345010764,yes,0.9999810373091567,yes,0.9970537378435101,yes,0.9971527611529297,yes,0.9974226633961294
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,yes,0.9999990492895237,yes,0.9974541295156987,yes,0.9999944325944038,yes,0.9999987335045171,yes,0.9999978125307224,yes,0.9999982008773564,yes,0.9999977191612573,yes,0.9999979769737829,yes,0.9999989892164428,yes,0.9999984607015666,yes,0.999998553898065,yes,0.9999988348137956
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.1652718751924677,no,0.3453711480105923,no,0.39367748119111967,no,0.4780624593704747,no,0.3738404848334364,no,0.37679752559364255,no,0.35754184549350004,no,0.3602310774856913,no,0.3811796951696306,no,0.3727632481646943,no,0.3783139870503241,no,0.3731947628272864
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,yes,0.9924865601545527,yes,0.9891456585868197,yes,0.9942460928364344,yes,0.9968287300243577,yes,0.9965953323212621,yes,0.9969089619057042,yes,0.9966599747910937,yes,0.9966321946658152,yes,0.9999810108360387,yes,0.9970548611337856,yes,0.9971473750839751,yes,0.9974195478065102
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,yes,0.8828921368960223,yes,0.8462158845349593,yes,0.909692035498114,yes,0.9968298658362655,yes,0.9965928964361096,yes,0.9969051383723514,yes,0.9966596726552546,yes,0.9966216163126469,yes,0.9999810999009923,yes,0.997063277790763,yes,0.9971497724332562,yes,0.9974188990426082
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,yes,0.9930020231112829,yes,0.9891433280011243,yes,0.9942449045860255,yes,0.9968321196630102,yes,0.9965943208014227,yes,0.9969039298717752,yes,0.9966636309114802,yes,0.9966275303557883,yes,0.9999810541031996,yes,0.9970561517074242,yes,0.9971566520663154,yes,0.9974182220726004
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,yes,0.999995180975259,yes,0.9939887041808926,yes,0.9973369024675635,yes,0.9999932995382875,yes,0.999993355811428,yes,0.9999945507486291,yes,0.9999929116042346,yes,0.9999922634316722,yes,0.9999959555855368,yes,0.9999939098852254,yes,0.9999945203366957,yes,0.9999960138858712
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,yes,0.9999999999715519,yes,0.9999999873928984,yes,0.9999999981336517,yes,0.9999999997412851,yes,0.9999999997122961,yes,0.9999999997961202,yes,0.9999999997593397,yes,0.9999999997693854,yes,0.9999999999148225,yes,0.9999999998669534,yes,0.9999999998855127,yes,0.999999999921051
