,perc_read,FASTREAD,SVM
0,0,46.78,2.73
1,1,48.07,10.61
2,2,53.86,18.65
3,3,57.07,26.69
4,4,65.43,34.41
5,5,68.81,40.35
6,6,73.95,47.75
7,7,80.06,53.86
8,8,84.41,59.49
9,9,89.39,66.08
10,10,90.51,72.99
11,11,91.8,79.26
12,12,91.96,84.89
13,13,93.41,89.07
14,14,94.53,91.96
15,15,,92.44
16,16,,94.53
17,17,,
18,18,,
19,19,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
