,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,9.89,9.63,127.01
1,1,,27.54,24.6,94.39
2,2,,42.78,40.11,81.02
3,3,,55.35,55.35,70.59
4,4,,66.31,67.38,72.73
5,5,,74.06,73.53,86.1
6,6,,77.27,75.94,88.24
7,7,,78.61,79.68,86.1
8,8,,80.75,83.16,85.56
9,9,,81.82,84.76,85.03
10,10,,82.35,86.63,84.49
11,11,,82.62,88.77,83.69
12,12,,84.22,90.11,84.49
13,13,,87.17,90.37,89.3
14,14,,88.77,92.25,89.84
15,15,,89.04,92.51,89.57
16,16,,89.57,93.32,89.57
17,17,,92.51,94.12,91.44
18,18,,92.78,94.12,92.25
19,19,,93.58,94.39,93.05
20,20,,,94.39,
21,21,,93.85,94.39,92.78
22,22,,,94.39,
23,23,,94.12,94.65,92.51
24,24,,94.39,94.65,92.25
25,25,,94.92,94.65,92.78
26,26,,,95.19,
27,27,,95.45,,93.05
28,28,,95.45,,93.05
29,29,,97.33,,92.78
30,30,,97.33,,95.19
31,31,,97.33,,94.92
32,32,,,,
33,33,,97.59,,94.65
34,34,,,,
35,35,,97.59,,94.39
36,36,,97.59,,94.12
37,37,,,,
38,38,,,,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
