,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,14.71,11.27,232.84
1,1,,39.22,37.75,114.71
2,2,,64.71,66.18,108.33
3,3,,86.27,85.29,131.86
4,4,,93.63,94.61,149.02
5,5,,95.59,95.1,147.06
6,6,,96.57,,132.84
7,7,,97.06,,125.98
8,8,,97.06,,119.61
9,9,,97.55,,116.18
10,10,,98.04,,112.75
11,11,,99.02,,111.76
12,12,,99.02,,111.76
13,13,,99.51,,110.29
14,14,,99.51,,109.8
15,15,,99.51,,108.33
16,16,,99.51,,107.84
17,17,,,,
18,18,,99.51,,106.86
19,19,,99.51,,105.88
20,20,,,,
21,21,,99.51,,104.9
22,22,,,,
23,23,,99.51,,104.41
24,24,,,,
25,25,,,,
26,26,,,,
27,27,,,,
28,28,,,,
29,29,,,,
30,30,,,,
31,31,,,,
32,32,,,,
33,33,,,,
34,34,,,,
35,35,,,,
36,36,,,,
37,37,,,,
38,38,,,,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
