,perc_read,FASTREAD,estimate
0,0,0.96,227.27
1,1,1.44,227.27
2,2,2.87,227.27
3,3,12.44,32.06
4,4,33.49,45.45
5,5,50.24,55.5
6,6,59.33,61.24
7,7,65.07,72.25
8,8,71.77,81.82
9,9,79.9,89.95
10,10,81.34,94.26
11,11,82.3,90.43
12,12,82.78,88.52
13,13,84.69,86.6
14,14,84.69,85.65
15,15,85.65,85.65
16,16,87.08,87.56
17,17,92.82,92.34
18,18,,
19,19,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
