,perc_read,FASTREAD,estimate
0,0,0.21,33.62
1,1,3.33,7.36
2,2,7.15,27.03
3,3,10.4,44.02
4,4,15.99,37.3
5,5,22.29,37.51
6,6,28.45,43.74
7,7,32.91,47.98
8,8,39.0,52.8
9,9,44.66,56.69
10,10,50.53,60.72
11,11,55.41,64.19
12,12,60.65,69.21
13,13,64.4,73.6
14,14,69.5,75.87
15,15,73.81,80.11
16,16,78.06,84.36
17,17,81.39,86.69
18,18,84.22,88.25
19,19,86.84,91.08
20,20,88.96,91.79
21,21,90.02,93.21
22,22,90.66,92.92
23,23,91.22,92.99
24,24,91.79,93.14
25,25,92.14,93.14
26,26,92.99,92.5
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
