,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba
0,jruby-1.4.0,DEFECT,"// TODO: we loose encoding information here, fix it",yes,undetermined,0,0,0,yes,0.9907512922808531,yes,0.9866772665470939,yes,0.9888799910618395,yes,0.9877471228908556,yes,0.9903257246353391,yes,0.9902287781297351,yes,0.9902682866483844
1,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes,undetermined,0,0,0,yes,0.9665554748984366,yes,0.9828785295278765,yes,0.9853998326438284,yes,0.9852810255761759,yes,0.9881635270744658,yes,0.9881014801859211,yes,0.9879992090838727
2,jruby-1.4.0,DEFECT,// TODO: Numeric.new works in Ruby and it does here too.  However trying to use //   that instance in a numeric operation should generate an ArgumentError. Doing //   this seems so pathological I do not see the need to fix this now.,yes,undetermined,0,0,0,yes,0.9164567663328053,yes,0.9828416215160697,yes,0.9854340935732956,yes,0.9842600249687673,yes,0.9873575935691563,yes,0.987232839793879,yes,0.9872608127578801
3,jruby-1.4.0,DEFECT,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",yes,undetermined,0,0,0,yes,0.6243830653868327,yes,0.5963050916614839,yes,0.5935157894990768,yes,0.6185992611714988,yes,0.6487375832694964,yes,0.6464929640057008,yes,0.6448526360140467
4,jruby-1.4.0,DEFECT,// TODO: take BigDecimal.mode into account.,yes,undetermined,0,0,0,yes,0.9897802989798319,yes,0.988597706884126,yes,0.9906374776686971,yes,0.9899125051045505,yes,0.9920190880229824,yes,0.9919413040790507,yes,0.9919529487968002
5,jruby-1.4.0,DEFECT,// TODO: full-precision remainder is 1000x slower than MRI!,yes,undetermined,0,0,0,yes,0.7939168006007433,yes,0.6388149814303129,yes,0.6443423119809043,yes,0.6311934227961213,yes,0.6542785749941741,yes,0.6482599719444646,yes,0.6463126384456045
6,jruby-1.4.0,DEFECT,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);,yes,undetermined,0,0,0,yes,0.9523148254132588,yes,0.9850840001448677,yes,0.9886738909593386,yes,0.9885316107879843,yes,0.9902712409618711,yes,0.9915769837873386,yes,0.9911967220796266
7,jruby-1.4.0,DEFECT,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup.",yes,undetermined,0,0,0,no,0.41987676976342964,no,0.4273009458018529,yes,0.5094697776984226,yes,0.4927694548409835,yes,0.5095142137744285,yes,0.5467661012842678,yes,0.5446614810763123
8,jruby-1.4.0,DEFECT,"// TODO: Rewriter and compiler assume case when empty expression.  In MRI this is just // a when. //        assert caseNode != null : ""caseNode is not null"";",yes,undetermined,0,0,0,no,0.4654151246267966,no,0.4346958010453556,no,0.4143854187432202,no,0.4086106347774554,no,0.4331573058979825,no,0.42794429757260244,no,0.4258323509050772
9,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
10,jruby-1.4.0,DEFECT,"// XXX Wrong, but will have to do for now",yes,undetermined,0,0,0,no,0.4785594295485593,yes,0.5185700748844255,yes,0.9271081043925221,yes,0.984251918457062,yes,0.9873618519241313,yes,0.9872234128404312,yes,0.9872391317090522
11,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
12,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes,undetermined,0,0,0,yes,0.9665554748984366,yes,0.9828785295278765,yes,0.9853998326438284,yes,0.9852810255761759,yes,0.9881635270744658,yes,0.9881014801859211,yes,0.9879992090838727
13,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
14,jruby-1.4.0,DEFECT,"/**
     * Get value from current scope or one of its captured scopes.
     * 
     * FIXME: block variables are not getting primed to nil so we need to null check those
     *  until we prime them properly.  Also add assert back in.
     * 
     * @param offset zero-indexed value that represents where variable lives
     * @param depth how many captured scopes down this variable should be set
     * @return the value here
     */",yes,undetermined,0,0,0,no,0.29516365473302414,no,0.2689762761473496,no,0.3383271242976943,no,0.34476868053773263,no,0.3611166683608753,no,0.35715784898203495,no,0.3551656250209181
15,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
16,jruby-1.4.0,DEFECT,// IMPORTANT: Receive the block argument before the opt and splat args // This is so that the *arg can be encoded as 'rest of the array'.  This // won't work if the block argument hasn't been received yet!,yes,undetermined,0,0,0,no,0.052191535516776986,yes,0.9828526473045364,yes,0.9854116223833833,yes,0.9842238669152594,yes,0.9873286368209139,yes,0.9872260169795405,yes,0.9872288792205728
17,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
18,jruby-1.4.0,DEFECT,// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!,yes,undetermined,0,0,0,yes,0.6373849787229082,yes,0.7621842193131243,yes,0.7965559936229931,yes,0.7993335465522087,yes,0.8150361290208421,yes,0.825579989896059,yes,0.8258184365996698
19,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
20,jruby-1.4.0,DEFECT,// SSS FIXME: // // There are also differences in variable scoping between 1.8 and 1.9  // Ruby 1.8 is the buggy semantics if I understand correctly. // // The semantics of how this shadows other variables outside the block needs // to be figured out during live var analysis.,yes,undetermined,0,0,0,yes,0.6558344506298794,yes,0.6981980472797287,yes,0.7736812998352238,yes,0.7678337972292023,yes,0.7859933262737123,yes,0.788034102959325,yes,0.7862422422463038
21,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
22,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes,undetermined,0,0,0,yes,0.9915537425659909,yes,0.9828456152793165,yes,0.9854281765676224,yes,0.9842589868241376,yes,0.9873585384795983,yes,0.9871922639871931,yes,0.9872442772636264
23,jruby-1.4.0,DEFECT,"// This was a getOpt with one mandatory arg, but it did not work // so I am parsing it for now.",yes,undetermined,0,0,0,no,0.041315818086064625,yes,0.9828302610829427,yes,0.9854015193938304,yes,0.9842366417400502,yes,0.9873495510544419,yes,0.9872260201651587,yes,0.9872276758094014
24,jruby-1.4.0,DEFECT,"// This is the result of a bug that left off all trailing arguments. E.g.: //   system ""ls"", ""-1"", ""dir"" // would be seen as //   system ""ls""",yes,undetermined,0,0,0,no,0.1276049554944746,no,0.088987612800055,yes,0.9854196415711335,yes,0.9842279964449476,yes,0.9873371327499099,yes,0.9872071234445512,yes,0.9872169310904894
25,jruby-1.4.0,DEFECT,// FIXME: Broken but behaving,yes,undetermined,0,0,0,yes,0.995300807635877,yes,0.9999981505605433,yes,0.9999991052778762,yes,0.999999056573817,yes,0.9999994436900155,yes,0.999999550507631,yes,0.9999995643923711
26,jruby-1.4.0,DEFECT,"// TODO: We overflow on large files...We could increase to long to limit // this, but then the impl gets more involved since java io APIs based on // int (means we have to chunk up a long into a series of int ops).",yes,undetermined,0,0,0,no,0.400978598799216,no,0.378334670938323,no,0.379049329676186,no,0.3544238592711514,no,0.37814484279625976,no,0.37155443695811347,no,0.36751517164799014
