,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,hibernate-distribution-3.3.2.GA,DEFECT,"// this is only needed (afaict) for processing results from the query cache; // however, this cannot possibly work in the case of discovered types...",yes,undetermined,0,0,0,no,0.13923776474849717,no,0.11457596925219862,no,0.10420627351081921,no,0.1044334811536558
1,hibernate-distribution-3.3.2.GA,DEFECT,// note that this timestamp is not correct if the connection provider // returns an older JDBC connection that was associated with a // transaction that was already begun before openSession() was called // (don't know any possible solution to this!),yes,undetermined,0,0,0,no,0.203953202772373,no,0.17095182657583122,no,0.16454525600782355,no,0.1661780898828047
2,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: This is assertion is disabled because there is a bug that means the //	  original owner of a transient, uninitialized collection is not known //	  if the collection is re-referenced by a different object associated //	  with the current Session //throw new AssertionFailure(""bug loading unowned collection"");",yes,undetermined,0,0,0,yes,0.7352874998516711,yes,0.6815496697571982,yes,0.6833462120359891,yes,0.6931035981120209
3,hibernate-distribution-3.3.2.GA,DEFECT,"// This does not support the Cache SQL 'DISTINCT BY (comma-list)' extensions, // but this extension is not supported through Hibernate anyway.",yes,undetermined,0,0,0,no,0.020694801609995806,yes,0.9855446346382933,yes,0.9847028418087632,yes,0.986208893053917
4,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: when this is the entry point, we should use an INNER_JOIN for fetching the many-to-many elements!",yes,undetermined,0,0,0,yes,0.9114950679584763,yes,0.985562412298637,yes,0.9847208686618543,yes,0.9862368671056376
5,hibernate-distribution-3.3.2.GA,DEFECT,"// could happen for custom Criteria impls.  Not likely, but... // 		for long term solution, see HHH-3514",yes,undetermined,0,0,0,no,0.009521831376408574,yes,0.9855201607637406,yes,0.984728519308587,yes,0.9861959878943923
6,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object) //the owner of the association is not the owner of the id,yes,undetermined,0,0,0,yes,0.5641392206516541,yes,0.6808606044210611,yes,0.6924845938740202,yes,0.702045296025209
7,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object),yes,undetermined,0,0,0,yes,0.7199481166130209,yes,0.7153790049252334,yes,0.7048507665999467,yes,0.7148041703599815
8,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK and entity name, fix this!",yes,undetermined,0,0,0,yes,0.9650365804560508,yes,0.9855626006300308,yes,0.9847197410308309,yes,0.9862264057461759
9,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: does not work for EntityMode.DOM4J yet!,yes,undetermined,0,0,0,yes,0.9999999703251218,yes,0.9999999299595893,yes,0.9999999232955271,yes,0.9999999467699784
10,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: Deal with the ""optional"" attribute in the <join> mapping; // this code assumes that optional defaults to ""true"" because it // doesn't actually seem to work in the fetch=""join"" code // // Note that actual proper handling of optional-ality here is actually // more involved than this patch assumes.  Remember that we might have // multiple <join/> mappings associated with a single entity.  Really // a couple of things need to happen to properly handle optional here: //  1) First and foremost, when handling multiple <join/>s, we really //      should be using the entity root table as the driving table; //      another option here would be to choose some non-optional joined //      table to use as the driving table.  In all likelihood, just using //      the root table is much simplier //  2) Need to add the FK columns corresponding to each joined table //      to the generated select list; these would then be used when //      iterating the result set to determine whether all non-optional //      data is present // My initial thoughts on the best way to deal with this would be // to introduce a new SequentialSelect abstraction that actually gets // generated in the persisters (ok, SingleTable...) and utilized here. // It would encapsulated all this required optional-ality checking...",yes,undetermined,0,0,0,yes,0.80984468566244,yes,0.7460366742983233,yes,0.7336065280263248,yes,0.7425214647320371
11,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: would be nice to use false, but issues with MS SQL",yes,undetermined,0,0,0,yes,0.9822797887965065,yes,0.9855370981769201,yes,0.9847142410512091,yes,0.9861925414625363
12,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: not really completely correct, since //      the uoe could occur while resolving //      associations, leaving the PC in an //      inconsistent state",yes,undetermined,0,0,0,yes,0.7820774239599574,yes,0.7367768590498859,yes,0.7389123372205226,yes,0.7421684709791342
13,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: this is kinda inconsistent with CollectionType,yes,undetermined,0,0,0,no,0.01325037645668776,no,0.014260932248424719,no,0.013765265067302008,no,0.013323255765510592
14,hibernate-distribution-3.3.2.GA,DEFECT,"// For a one-to-many, a <bag> is not really a bag; // it is *really* a set, since it can't contain the // same element twice. It could be considered a bug // in the mapping dtd that <bag> allows <one-to-many>.",yes,undetermined,0,0,0,no,0.07879521713786368,yes,0.9855334892050681,yes,0.9847137710838154,yes,0.9862316969425485
15,hibernate-distribution-3.3.2.GA,DEFECT,"//TODO: entities CAN be compared, by PK, fix this! -> only if/when we can extract the id values....",yes,undetermined,0,0,0,yes,0.9614866403656431,yes,0.9855688857242453,yes,0.9847307610626668,yes,0.9862327940837256
16,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: old version did not require hashmap lookup: //keys[collectionOwner].getIdentifier(),yes,undetermined,0,0,0,yes,0.7950825733461574,yes,0.7620265250552545,yes,0.7580617284395302,yes,0.7687956910058138
17,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: this disables laziness even in non-pojo entity modes:,yes,undetermined,0,0,0,yes,0.9791679113311929,yes,0.9855290157923025,yes,0.9847323003281416,yes,0.9862351810668069
18,hibernate-distribution-3.3.2.GA,DEFECT,"// TODO: at the point where we are resolving collection references, we don't // know if the uk value has been resolved (depends if it was earlier or // later in the mapping document) - now, we could try and use e.getStatus() // to decide to semiResolve(), trouble is that initializeEntity() reuses // the same array for resolved and hydrated values",yes,undetermined,0,0,0,yes,0.751160973814499,yes,0.7248999605976073,yes,0.7191939055998353,yes,0.7315624007085489
19,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: currently we don't know a SessionFactory reference when building the Tuplizer //      THIS IS A BUG (embedded-xml=false on component) // TODO : fix this after HHH-1907 is complete,yes,undetermined,0,0,0,yes,0.9999998928867662,yes,0.9999996151929608,yes,0.9999995576619943,yes,0.9999996840342018
20,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: this requires that the collection is defined after the //      referenced property in the mapping file (ok?),yes,undetermined,0,0,0,yes,0.6847597037340671,yes,0.7360062271211829,yes,0.7425669891673435,yes,0.7546784000005299
21,hibernate-distribution-3.3.2.GA,DEFECT,// TODO : currently we really do not handle ValueInclusion.PARTIAL... // ValueInclusion.PARTIAL would indicate parts of a component need to // be included in the select; currently we then just render the entire // component into the select clause in that case.,yes,undetermined,0,0,0,yes,0.8712351437269211,yes,0.7727412136676663,yes,0.7618631639328953,yes,0.7709223374366632
22,hibernate-distribution-3.3.2.GA,DEFECT,//TODO: is this completely correct?,yes,undetermined,0,0,0,yes,0.996003691528986,yes,0.9922227735088446,yes,0.9928572351936149,yes,0.9936600116881761
23,hibernate-distribution-3.3.2.GA,DEFECT,// TODO: what if batchUpdate is a callablestatement ? // calls executeBatch(),yes,undetermined,0,0,0,yes,0.996595607069058,yes,0.9958385451528676,yes,0.9955558814904694,yes,0.9960773625903847
24,hibernate-distribution-3.3.2.GA,DEFECT,// This doesn't actually seem to work but it *might* // work on some dbs. Also it doesn't work if there // are multiple columns of results because it // is not accounting for the suffix: // return new String[] { getDiscriminatorColumnName() };,yes,undetermined,0,0,0,no,0.23122074465918302,no,0.2676037009781211,no,0.2567883112840591,no,0.26091021525089764
25,hibernate-distribution-3.3.2.GA,DEFECT,"// First, validate all the enabled filters... //TODO: this implementation has bad performance",yes,undetermined,0,0,0,yes,0.9318086735458033,yes,0.9855389441776334,yes,0.9847139444324515,yes,0.986198012916302
