,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,yes,0.5875141758732118,yes,0.676607242379179,yes,0.7252546876890278,yes,0.7373106525347165,yes,0.7435609455786436,yes,0.752352604847764
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,yes,0.9999844350714537,yes,0.9916384184456035,yes,0.9937084896545032,yes,0.994408209429882,yes,0.9950826147718215,yes,0.9954108940472969
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,yes,0.9757767459369469,yes,0.9837597032434442,yes,0.990385838732105,yes,0.9912217373983211,yes,0.992086022564635,yes,0.9925788664963564
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,yes,0.988776462931247,yes,0.9837910589064986,yes,0.9903852775770838,yes,0.9912153910667618,yes,0.9920667420519883,yes,0.9925667411084967
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.5143628029452839,yes,0.5542956117185978,yes,0.5885215571071106,yes,0.6244272664185061,yes,0.6262249033906859,yes,0.6386568146108635
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,yes,0.9838660433092286,yes,0.9837501289247198,yes,0.9903597466624976,yes,0.9912174600728744,yes,0.9920685139304496,yes,0.9925746220983476
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,yes,0.8158387797786847,yes,0.7519771223185587,yes,0.8062490494581623,yes,0.8170344230380816,yes,0.8258241791122244,yes,0.8341422998433301
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,yes,0.9999906353424721,yes,0.9957135482338944,yes,0.9999850417192898,yes,0.9999927552674528,yes,0.9999943777487124,yes,0.9999951646696209
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,yes,0.9890000005297218,yes,0.9932591928581289,yes,0.9963311880906994,yes,0.9971813611084324,yes,0.9999811305694737,yes,0.9999844294984528
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,yes,0.9999999994545195,yes,0.9999818777529939,yes,0.999997196461682,yes,0.9999975999783142,yes,0.9999982096082115,yes,0.999998469654046
10,argouml,DEFECT,"// TODO: We don't really want this to be filled, but if it's not then // the user can't double click in the compartment to add a new literal // Apparently GEF thinks unfilled figs are only selectable by border //        setFilled(false);",yes,undetermined,0,0,0,yes,0.9585068288398445,yes,0.9837736113804914,yes,0.9903612259639861,yes,0.9911988898789652,yes,0.9920678452650642,yes,0.9925918533538766
11,argouml,DEFECT,"// TODO: We can't have a global ""current"" language // NotationProviderFactory2.setCurrentLanguage(newLanguage);",yes,undetermined,0,0,0,yes,0.9425612121017856,yes,0.9837623198290355,yes,0.9903705124076823,yes,0.9912013257309367,yes,0.9920876116495387,yes,0.9925834741237543
12,argouml,DEFECT,// TODO: We should warn the user we have removed something - tfm,yes,undetermined,0,0,0,yes,0.9933158019799645,yes,0.9837503806709118,yes,0.9903634648752986,yes,0.9912074846382501,yes,0.992088037928385,yes,0.9925768165949547
13,argouml,DEFECT,// If we are not visible most likely we're being deleted. // TODO: This indicates a more fundamental problem that  // should be investigated - tfm - 20061230,yes,undetermined,0,0,0,yes,0.9731810182436631,yes,0.9837628346471808,yes,0.9903656679159172,yes,0.9912029942625913,yes,0.9920816654571304,yes,0.9925863284992513
14,argouml,DEFECT,"// FIXME: the following throws: // org.argouml.model.InvalidElementException:  // javax.jmi.reflect.InvalidObjectException: Object with  // MOFID 127-0-1-1-(...)000E75 no longer exists. //        applicableTagDefs = tagDefCBModel.getApplicableTagDefinitions(aClass); //        assertNotNull(""Tag Definition wasn't found in return value of "" //            + ""tagDefCBModel.getApplicableTagDefinitions(aClass), "" //            + ""after loading the project."", //            TestStereotypeUtility.findModelElementNamed( //                ProfileMother.TAG_DEFINITION_NAME_TD, applicableTagDefs));",yes,undetermined,0,0,0,yes,0.5755763587455986,no,0.32156181783265736,no,0.47587967795195096,no,0.5064970034884301,no,0.5113442481052661,no,0.5156715937578984
15,argouml,DEFECT,//TODO i18n: GEF needs to pass us back the description // of what is being done.,yes,undetermined,0,0,0,yes,0.9129707672127216,yes,0.9837929900484855,yes,0.9903525864408956,yes,0.9912207758129652,yes,0.992077500167674,yes,0.992580869384368
