,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba
0,apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe,yes,undetermined,0,0,0,yes,0.9903027897638249,yes,0.9886317891502687,yes,0.9894780398690693,yes,0.9893668906551384,yes,0.9899985540218172,yes,0.9891346686894269,yes,0.9899234104692911
1,apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",yes,undetermined,0,0,0,no,0.3163252045138445,no,0.2989965293847097,no,0.2928707636423509,no,0.28450777692050505,no,0.2821836420689055,no,0.2764129598333834,no,0.2752347312025434
2,apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",yes,undetermined,0,0,0,no,0.09177920244878364,yes,0.9855716177229664,yes,0.9865361730076233,yes,0.9866143560305609,yes,0.9874299256595637,yes,0.9863832886330286,yes,0.9873156278958831
3,apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",yes,undetermined,0,0,0,no,0.17178428246057698,no,0.1636339608517398,no,0.1466555575052173,no,0.13548124512370627,no,0.13477803317468356,no,0.1306007778889611,no,0.12837841371855674
4,apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,yes,undetermined,0,0,0,no,0.014840416096247817,yes,0.9855864453608292,yes,0.98651193177606,yes,0.9866242894373974,yes,0.9874140129765716,yes,0.9863838558423774,yes,0.9873259202044462
5,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999982035993114,yes,0.9999964120295897,yes,0.9999964591708499,yes,0.999996515256593,yes,0.9999970633298524,yes,0.9999964642684087,yes,0.9999971675212783
6,apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",yes,undetermined,0,0,0,no,0.10611217415690566,no,0.08878170201575888,yes,0.9865140470092891,yes,0.9866331864397662,yes,0.9874163796455439,yes,0.9863948559735553,yes,0.9873169767918912
7,apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,yes,undetermined,0,0,0,no,0.005021044494834856,yes,0.9855608027530681,yes,0.9865210958587679,yes,0.9866307624845572,yes,0.9874083184894679,yes,0.9863928923061214,yes,0.9873125931059508
8,apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",yes,undetermined,0,0,0,yes,0.9752369107313518,yes,0.9855657960930417,yes,0.9865298086197132,yes,0.9866461950638681,yes,0.9874272248989859,yes,0.986394642893605,yes,0.9873264083977653
9,apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,yes,undetermined,0,0,0,no,0.2209017226428812,no,0.2081210987281,no,0.1692968787045804,no,0.1615081651238874,no,0.15840611010720546,no,0.1530209177186981,no,0.1509084659874907
10,apache-ant-1.7.0,DEFECT,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,yes,undetermined,0,0,0,no,0.025093223694173397,yes,0.9855713358428011,yes,0.9865124603688123,yes,0.986604271772712,yes,0.9874120347048261,yes,0.9863748885537034,yes,0.9873290629056074
11,apache-ant-1.7.0,DEFECT,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",yes,undetermined,0,0,0,yes,0.9566122676787889,yes,0.9855861957217416,yes,0.9865171600525994,yes,0.9866311258936248,yes,0.9874306432068821,yes,0.9863808536127883,yes,0.9873331098948716
12,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999982035993114,yes,0.9999964120295897,yes,0.9999964591708499,yes,0.999996515256593,yes,0.9999970633298524,yes,0.9999964642684087,yes,0.9999971675212783
13,apache-ant-1.7.0,DESIGN,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */",yes,undetermined,0,0,0,yes,0.8125421817482631,yes,0.7083814899003202,yes,0.692476681646206,yes,0.6684416057144275,yes,0.6790372625726784,yes,0.667898476413109,yes,0.6721835054510655
14,apache-ant-1.7.0,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,yes,undetermined,0,0,0,yes,0.8542977976956035,yes,0.8533394711688126,yes,0.8430958731331232,yes,0.8339965147324235,yes,0.8491297437645582,yes,0.8419372206655392,yes,0.8463672331606504
15,apache-ant-1.7.0,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? ),yes,undetermined,0,0,0,no,0.47091322335156455,no,0.4438796597863613,no,0.460258318932866,no,0.48124225103865137,no,0.4803347126395908,no,0.4702233652489916,no,0.47210893556011585
16,apache-ant-1.7.0,DESIGN,//borrowed from TokenFilterTest,yes,undetermined,0,0,0,no,0.013729605191680901,no,0.014252555802147508,no,0.013255191700320145,no,0.012403282725566138,no,0.01182817012117688,no,0.011746382634904708,no,0.011087984900258
